--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Stathead</a>: <a href="https://www.sports-reference.com/stathead/basketball/player-season-finder.cgi?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Found with Stathead. See Full Results.</a><br>Generated 5/5/2026.--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
801,Kessler Edwards,2.7,NJN,2,44,2021,Pepperdine,2021-22,2024-25,21-24,178,45,0,3.9,9.2,2.2,4.5,1.7,4.7,0.7,0.9,1.6,4.7,6.2,1.8,1.1,0.9,1.2,3.4,10.3,.428,.500,.360,.786,.536,.521,F,BRKDALSAC,edwarke02
802,T.J. Leaf,2.7,IND,1,18,2017,UCLA,2017-18,2020-21,20-23,146,2,0,5.9,12.1,5.0,9.4,0.9,2.6,1.1,1.9,2.8,5.5,8.2,1.3,0.8,0.8,0.9,3.0,13.9,.492,.534,.341,.585,.538,.529,F,INDPOR,leaftj01
803,Julian Strawther,2.7,IND,1,29,2023,Gonzaga,2023-24,2025-26,21-23,172,18,0,5.7,13.3,3.2,6.1,2.5,7.2,2.0,2.5,0.4,3.7,4.1,2.5,1.0,0.4,1.5,3.6,15.8,.429,.528,.346,.801,.553,.523,F,DEN,strawju01
804,Derik Queen,2.7,ATL,1,13,2025,Maryland,2025-26,2025-26,21,81,48,0,6.3,13.3,5.9,11.7,0.4,1.6,3.9,4.9,2.4,7.8,10.2,5.3,1.5,1.3,3.4,3.8,16.9,.473,.502,.261,.795,.546,.489,F-C,NOP,queende01
805,Nick Calathes,2.6,MIN,2,45,2009,Florida,2013-14,2014-15,24-25,129,7,0,4.4,10.0,3.9,8.1,0.5,1.9,1.2,2.1,0.8,3.6,4.4,6.3,2.3,0.2,2.9,3.9,10.6,.441,.476,.288,.581,.484,.468,G,MEM,calatni01
806,Sean May,2.6,CHA,1,13,2005,North Carolina,2005-06,2009-10,21-25,119,25,0,6.2,13.6,6.2,13.4,0.1,0.3,3.3,4.4,3.0,6.3,9.3,2.2,1.0,0.9,2.6,4.5,15.8,.458,.462,.231,.746,.508,.460,F-C,CHASAC,mayse01
807,GG Jackson II,2.6,MEM,2,45,2023,South Carolina,2023-24,2025-26,19-21,132,49,0,7.1,16.0,4.7,8.8,2.5,7.2,3.2,4.3,1.6,4.9,6.6,2.1,0.9,0.9,2.3,2.1,20.0,.447,.530,.345,.744,.558,.524,F,MEM,jacksgg01
808,Lawrence Roberts,2.5,OKC,2,55,2005,Mississippi State,2005-06,2006-07,23-24,87,18,0,3.6,7.9,3.6,7.8,0.0,0.1,3.3,4.8,4.0,5.7,9.7,1.1,1.4,0.5,1.3,5.1,10.5,.452,.460,.000,.688,.522,.452,F,MEM,roberla01
809,Will Richard,2.5,MEM,2,56,2025,Florida,2025-26,2025-26,23,69,21,0,4.2,9.0,2.4,3.5,1.9,5.5,1.2,1.4,1.8,2.7,4.5,2.4,2.1,0.2,1.4,3.4,11.5,.468,.679,.335,.852,.596,.571,G,GSW,richawi02
810,Julian Phillips,2.5,BOS,2,35,2023,Tennessee,2023-24,2025-26,20-22,167,7,0,4.1,9.3,2.5,4.4,1.6,4.9,1.7,2.3,2.0,2.9,4.9,1.2,1.3,0.7,0.9,3.7,11.4,.435,.563,.320,.771,.554,.520,F,CHIMIN,phillju01
811,Jared Butler,2.5,NOH,2,40,2021,Baylor,2021-22,2024-25,21-24,148,19,0,6.6,14.7,4.5,8.6,2.1,6.1,2.1,2.5,0.7,3.1,3.8,7.3,1.6,0.5,3.0,3.6,17.4,.450,.529,.341,.818,.550,.522,G,OKCPHIUTAWAS,butleja02
812,Jarace Walker,2.5,WAS,1,8,2023,Houston,2023-24,2025-26,20-22,184,46,0,5.4,12.4,3.0,6.3,2.4,6.2,2.0,2.7,0.9,6.2,7.1,3.5,1.4,0.6,2.4,2.8,15.2,.434,.481,.386,.732,.556,.530,F,IND,walkeja02
813,Cedric Coward,2.5,POR,1,11,2025,Washington State,2025-26,2025-26,22,62,47,0,6.9,14.6,4.8,8.4,2.1,6.2,3.2,3.7,1.9,6.3,8.2,3.9,0.9,0.6,2.4,2.8,19.0,.471,.568,.338,.843,.585,.542,F-G,MEM,cowarce01
814,Jonathan Mogbo,2.5,TOR,2,31,2024,San Francisco,2024-25,2025-26,23-24,103,18,0,4.3,9.4,3.9,7.7,0.4,1.7,1.6,2.3,3.0,5.9,8.9,4.0,1.5,1.0,2.0,3.8,10.6,.455,.502,.239,.719,.509,.476,F,TOR,mogbojo01
815,Frank Jackson,2.5,CHA,2,31,2017,Duke,2018-19,2022-23,20-24,214,31,0,6.1,14.5,3.8,7.6,2.3,6.9,2.4,3.0,0.8,2.9,3.6,2.1,0.8,0.1,1.6,2.9,16.9,.421,.502,.332,.786,.534,.501,G,DETNOPUTA,jacksfr01
816,Vlatko Čančar,2.4,DEN,2,49,2017,,2019-20,2024-25,22-27,143,11,0,4.2,9.0,2.7,4.7,1.5,4.3,1.4,1.7,1.3,4.6,5.9,2.9,0.9,0.5,1.7,3.2,11.4,.472,.580,.354,.847,.588,.556,F,DEN,cancavl01
817,Noah Clowney,2.4,NJN,1,21,2023,Alabama,2023-24,2025-26,19-21,135,84,0,4.9,12.4,2.3,4.6,2.6,7.7,3.0,3.8,1.4,4.7,6.0,1.9,0.9,0.9,1.8,3.4,15.4,.395,.500,.332,.802,.548,.499,F,BRK,clownno01
818,Robert Sacre,2.4,LAL,2,60,2012,Gonzaga,2012-13,2015-16,23-26,189,35,0,4.2,9.6,4.2,9.5,0.0,0.0,2.0,3.0,2.8,5.0,7.8,1.7,0.7,1.4,1.3,4.4,10.3,.436,.437,.000,.671,.475,.436,C,LAL,sacrero01
819,Taylor Hendricks,2.4,UTA,1,9,2023,UCF,2023-24,2025-26,20-22,102,43,0,4.8,10.8,2.7,4.9,2.1,5.9,1.3,1.8,2.0,5.4,7.4,1.6,1.5,1.1,1.4,3.2,13.1,.449,.563,.354,.714,.564,.546,F,MEMUTA,hendrta01
820,Omari Spellman,2.4,ATL,1,30,2018,Villanova,2018-19,2019-20,21-22,95,14,0,4.8,11.5,2.9,6.4,1.9,5.1,2.2,2.9,3.2,5.6,8.8,2.0,1.3,1.0,1.8,2.8,13.7,.417,.458,.366,.766,.536,.498,F,ATLGSW,spellom01
821,Nando De Colo,2.4,SAS,2,53,2009,,2012-13,2013-14,25-26,119,9,0,4.3,10.0,3.1,6.6,1.2,3.4,1.7,2.0,0.9,4.4,5.4,5.2,1.6,0.3,3.0,3.4,11.5,.429,.463,.363,.835,.528,.491,G,SASTOR,decolna01
822,Bryce McGowens,2.3,MIN,2,40,2022,Nebraska,2022-23,2025-26,20-23,160,34,0,4.2,9.5,2.8,5.6,1.4,3.9,2.9,3.7,0.7,3.3,4.0,2.4,0.9,0.3,1.3,3.0,12.6,.438,.498,.351,.771,.563,.510,G-F,CHONOPPOR,mcgowbr01
823,Dennis Smith Jr.,2.3,DAL,1,9,2017,NC State,2017-18,2023-24,20-26,326,152,0,5.8,14.3,4.5,10.0,1.3,4.3,2.1,3.1,1.0,3.6,4.6,6.5,1.8,0.5,3.0,3.2,15.0,.407,.454,.298,.674,.479,.452,G,BRKCHODALDETNYKPOR,smithde03
824,Usman Garuba,2.3,HOU,1,23,2021,,2021-22,2023-24,19-21,105,3,0,3.1,6.7,2.3,4.3,0.9,2.3,1.0,1.6,4.2,7.4,11.6,2.4,1.6,1.3,1.6,4.8,8.1,.467,.524,.363,.625,.548,.531,F,GSWHOU,garubus01
825,Rodions Kurucs,2.3,NJN,2,40,2018,,2018-19,2020-21,20-22,131,55,0,5.0,11.3,3.3,6.2,1.7,5.0,1.7,2.3,1.5,5.5,7.0,1.9,1.3,0.6,2.3,4.3,13.4,.444,.537,.329,.739,.544,.517,F,BRKHOUMIL,kurucro01
826,Chris Singleton,2.3,WAS,1,18,2011,Florida State,2011-12,2013-14,22-24,148,62,0,3.2,8.6,2.4,6.1,0.8,2.5,1.2,1.9,1.5,5.0,6.5,1.3,1.6,0.8,1.4,4.5,8.5,.376,.400,.319,.633,.449,.423,F,WAS,singlch01
827,Kobe Brown,2.3,LAC,1,30,2023,Missouri,2023-24,2025-26,24-26,145,10,0,4.4,9.6,2.8,4.9,1.6,4.7,1.2,1.5,2.4,4.5,6.9,2.9,0.9,0.5,1.6,3.1,11.5,.455,.568,.338,.779,.561,.538,G-F,INDLAC,brownko01
828,Kasparas Jakučionis,2.3,MIA,1,20,2025,Illinois,2025-26,2025-26,19,53,12,0,3.9,9.1,1.4,3.1,2.5,5.9,2.2,2.5,1.6,3.6,5.3,5.2,1.3,0.3,1.9,3.8,12.5,.429,.439,.423,.879,.614,.567,G,MIA,jakucka01
829,Jalen Pickett,2.2,IND,2,32,2023,Penn State,2023-24,2025-26,24-26,126,22,0,4.3,10.1,2.1,4.4,2.2,5.7,0.5,0.7,0.8,3.7,4.5,5.5,0.8,0.2,1.5,2.1,11.3,.425,.474,.387,.774,.545,.535,G,DEN,pickeja02
830,Salim Stoudamire,2.2,ATL,2,31,2005,Arizona,2005-06,2007-08,23-25,157,1,0,6.0,14.8,3.8,8.6,2.3,6.1,2.7,3.1,0.3,2.6,2.9,2.2,0.7,0.1,2.1,3.2,17.0,.407,.435,.366,.882,.526,.483,G,ATL,stoudsa01
831,Hugo González,2.2,BOS,1,28,2025,,2025-26,2025-26,19,74,3,0,3.9,8.2,2.5,4.3,1.4,3.9,0.4,0.9,2.1,6.1,8.2,1.3,1.4,0.7,1.3,4.1,9.6,.476,.577,.362,.500,.561,.561,G-F,BOS,gonzahu01
832,Jimmer Fredette,2.2,MIL,1,10,2011,Brigham Young,2011-12,2018-19,22-29,241,7,0,5.9,14.4,3.7,8.5,2.2,5.8,2.2,2.5,0.6,2.1,2.7,3.7,1.1,0.1,2.5,2.5,16.1,.409,.434,.372,.879,.521,.484,G,CHINOPNYKPHOSAC,fredeji01
833,Jared McCain,2.2,PHI,1,16,2024,Duke,2024-25,2025-26,20-21,90,11,0,6.8,15.5,3.7,7.5,3.1,8.0,2.1,2.4,0.7,3.2,4.0,3.1,1.0,0.1,1.9,2.4,18.7,.438,.495,.385,.870,.565,.537,G,OKCPHI,mccaija01
834,Jérôme Moïso,2.1,BOS,1,11,2000,UCLA,2000-01,2004-05,22-26,145,3,0,4.1,8.4,4.1,8.3,0.0,0.1,1.8,3.1,3.3,7.0,10.2,1.0,1.2,1.8,2.7,4.7,10.0,.489,.494,.000,.593,.515,.489,F-C,BOSCHHCLENJNNOHTOR,moisoje01
835,Josh Harrellson,2.1,NOH,2,45,2011,Kentucky,2011-12,2013-14,22-24,75,4,0,4.3,9.7,2.9,5.9,1.3,3.9,0.9,1.4,3.2,6.0,9.2,1.1,1.2,1.5,1.3,3.9,10.7,.438,.497,.347,.629,.519,.506,C,DETMIANYK,harrejo01
836,Skylar Mays,2.1,ATL,2,50,2020,Louisiana State,2020-21,2023-24,23-26,105,16,0,5.6,12.6,4.0,7.9,1.6,4.7,1.8,2.1,0.9,3.1,4.0,5.9,1.6,0.2,1.6,2.0,14.6,.445,.504,.345,.859,.541,.509,G,ATLLALPOR,mayssk01
837,Thanasis Antetokounmpo,2.1,NYK,2,51,2014,,2015-16,2025-26,23-33,232,11,0,4.6,9.2,4.4,7.7,0.2,1.4,1.9,3.6,3.0,4.3,7.3,2.8,1.5,0.8,2.5,4.9,11.4,.506,.575,.134,.536,.530,.516,F,MILNYK,antetth01
838,Raül López,2.1,UTA,1,24,2001,,2003-04,2004-05,23-24,113,26,0,4.7,11.0,4.0,8.8,0.8,2.2,2.2,2.5,0.5,2.7,3.3,7.2,1.4,0.1,3.7,4.7,12.4,.429,.450,.346,.853,.510,.464,G,UTA,lopezra01
839,Ray McCallum,2.1,SAC,2,36,2013,Detroit Mercy,2013-14,2015-16,22-24,154,46,0,4.8,11.7,3.9,9.0,0.9,2.7,1.3,1.8,1.0,2.9,3.9,4.7,1.0,0.3,1.9,2.4,11.8,.408,.430,.335,.711,.470,.447,G,MEMSACSAS,mccalra01
840,Romeo Langford,2.0,BOS,1,14,2019,Indiana,2019-20,2022-23,20-23,141,32,0,4.0,9.3,3.1,6.3,0.9,3.0,1.4,2.1,1.8,2.9,4.7,1.5,1.0,0.7,1.1,2.7,10.3,.430,.497,.288,.659,.501,.476,G,BOSSAS,langfro01
841,Dalano Banton,2.0,TOR,2,46,2021,Nebraska,2021-22,2025-26,22-26,222,19,0,6.1,15.2,4.3,9.3,1.8,5.9,2.6,3.6,1.4,4.1,5.5,4.9,1.3,0.9,2.7,2.6,16.6,.401,.463,.303,.732,.495,.460,G-F,BOSLACPORTOR,bantoda01
842,David Roddy,2.0,PHI,1,23,2022,Colorado State,2022-23,2025-26,21-24,173,20,0,5.1,12.1,3.5,6.6,1.7,5.5,1.4,2.0,1.5,4.7,6.3,2.2,0.9,0.5,1.7,2.5,13.4,.424,.526,.301,.693,.513,.492,F,ATLDENHOUMEMPHIPHO,roddyda01
843,Brice Sensabaugh,2.0,UTA,1,28,2023,Ohio State,2023-24,2025-26,20-22,178,48,0,7.2,16.0,3.8,7.1,3.4,8.9,2.6,3.0,1.1,4.1,5.2,2.9,1.1,0.2,2.6,2.8,20.3,.450,.538,.380,.851,.587,.556,F,UTA,sensabr01
844,Viktor Khryapa,2.0,NJN,1,22,2004,,2004-05,2007-08,22-25,143,58,0,3.8,8.7,3.6,7.9,0.2,0.7,1.9,3.0,2.6,5.0,7.5,2.2,1.3,0.7,2.1,5.4,9.8,.443,.457,.292,.658,.493,.455,F,CHIPOR,khryavi01
845,Leonard Miller,2.0,SAS,2,33,2023,,2023-24,2025-26,20-22,76,12,0,7.4,13.3,5.8,8.4,1.5,4.9,2.2,2.8,2.8,6.7,9.5,2.2,0.9,0.8,1.7,3.2,18.4,.552,.691,.312,.762,.631,.609,F,CHIMIN,millele01
846,Udoka Azubuike,2.0,UTA,1,27,2020,Kansas,2020-21,2023-24,21-24,84,10,0,5.8,7.6,5.8,7.6,0.0,0.0,1.2,2.7,3.2,8.5,11.7,0.7,0.4,1.8,1.8,4.2,12.7,.758,.758,,.444,.724,.758,C,PHOUTA,azubuud01
847,Ousmane Dieng,2.0,NYK,1,11,2022,,2022-23,2025-26,19-22,166,22,0,5.1,12.1,3.2,5.8,2.0,6.3,1.1,1.5,1.1,5.0,6.2,3.7,0.9,0.5,2.0,2.6,13.3,.423,.540,.314,.720,.520,.504,F,MILOKC,diengou01
848,Michael Bradley,2.0,TOR,1,17,2001,Villanova,2001-02,2005-06,22-26,173,13,0,3.9,8.2,3.9,7.9,0.0,0.2,0.8,1.6,4.0,6.6,10.6,1.7,0.4,0.8,2.0,3.6,8.6,.477,.488,.143,.511,.487,.479,F-C,ATLORLPHISACTOR,bradlmi01
849,Isaiah Livers,2.0,DET,2,42,2021,Michigan,2021-22,2025-26,23-27,130,33,0,3.3,8.4,1.3,2.6,2.0,5.8,1.0,1.2,1.2,3.5,4.6,1.6,1.0,0.7,1.1,3.2,9.7,.400,.506,.352,.783,.543,.521,F,DETPHO,liveris01
850,Bernard Robinson,2.0,CHA,2,45,2004,Michigan,2004-05,2006-07,24-26,128,19,0,4.0,9.6,3.9,9.0,0.1,0.6,2.8,3.5,1.6,4.3,5.9,2.4,2.1,0.3,2.1,4.1,10.9,.417,.434,.161,.786,.488,.422,G-F,CHANJN,robinbe01
851,Javon Small,1.9,MEM,2,48,2025,West Virginia,2025-26,2025-26,23,41,12,0,5.8,12.5,3.2,6.3,2.6,6.2,2.9,3.6,1.6,4.0,5.6,6.5,1.5,0.4,2.4,2.8,17.2,.465,.507,.423,.829,.611,.569,G,MEM,smallja01
852,Robbie Hummel,1.9,MIN,2,58,2012,Purdue,2013-14,2014-15,24-25,98,9,0,3.8,9.0,2.5,5.4,1.2,3.6,1.0,1.2,1.7,5.2,6.9,1.3,0.8,0.3,0.7,3.7,9.8,.418,.469,.343,.867,.514,.487,F,MIN,hummero01
853,Jason Collier,1.9,MIL,1,15,2000,Georgia Tech,2000-01,2004-05,23-27,151,65,0,5.6,12.3,5.5,12.0,0.1,0.3,2.6,3.5,2.9,4.4,7.3,0.8,0.6,0.5,2.0,4.9,13.9,.455,.458,.350,.738,.502,.460,C,ATLHOU,collija02
854,Bernard James,1.9,CLE,2,33,2012,Florida State,2012-13,2014-15,27-29,92,13,0,3.6,7.2,3.6,7.1,0.0,0.1,2.4,3.5,4.0,6.0,10.0,0.6,0.8,2.9,1.6,5.0,9.6,.497,.507,.000,.680,.546,.497,C,DAL,jamesbe01
855,Tre Mann,1.9,OKC,1,18,2021,Florida,2021-22,2025-26,20-24,234,60,0,6.0,14.9,3.6,7.9,2.4,6.9,1.5,1.9,0.8,4.0,4.8,4.0,1.4,0.3,2.2,2.7,15.9,.402,.452,.345,.795,.505,.483,G,CHOOKC,manntr01
856,Chris Duarte,1.9,IND,1,13,2021,Oregon,2021-22,2024-25,24-27,177,62,0,5.4,13.3,3.2,6.9,2.2,6.4,2.0,2.5,1.0,4.2,5.2,2.6,1.2,0.3,1.8,2.8,15.0,.406,.459,.349,.813,.523,.489,G,CHIINDSAC,duartch01
857,Semih Erden,1.8,BOS,2,60,2008,,2010-11,2011-12,24-25,69,17,0,3.9,7.2,3.9,7.2,0.0,0.0,2.3,3.9,2.2,5.2,7.4,1.1,1.0,1.1,1.9,6.4,10.2,.546,.546,,.594,.571,.546,C,BOSCLE,erdense01
858,Mamadou N'Diaye,1.8,DEN,1,26,2000,Auburn,2000-01,2004-05,25-29,69,9,0,3.6,8.3,3.6,8.3,0.0,0.0,3.9,5.2,3.7,5.7,9.4,0.3,0.7,2.7,1.7,6.1,11.0,.427,.429,.000,.736,.516,.427,C,ATLDALLACTOR,ndiayma02
859,Rodney White,1.8,DET,1,9,2001,Charlotte,2001-02,2004-05,21-24,218,21,0,6.6,15.6,5.6,12.5,1.0,3.1,2.3,3.1,1.2,4.0,5.2,2.5,1.3,0.7,3.1,3.3,16.5,.424,.452,.314,.749,.487,.455,F,DENDETGSW,whitero02
860,Tyler Kolek,1.8,POR,2,34,2024,Marquette,2024-25,2025-26,23-24,103,1,0,4.8,11.6,2.7,5.9,2.0,5.7,1.0,1.3,0.8,3.6,4.4,8.4,1.2,0.3,2.6,3.2,12.5,.409,.456,.360,.730,.513,.497,G,NYK,kolekty01
861,Andre Jackson Jr.,1.8,ORL,2,36,2023,Connecticut,2023-24,2025-26,22-24,172,52,0,3.4,7.6,2.2,4.3,1.1,3.3,0.7,1.2,2.4,4.3,6.7,3.2,1.3,0.4,2.1,4.6,8.6,.440,.517,.341,.597,.525,.514,G,MIL,jacksan01
862,AJ Griffin,1.8,ATL,1,16,2022,Duke,2022-23,2023-24,19-20,92,12,0,6.1,13.6,3.5,6.8,2.5,6.8,1.0,1.1,0.9,3.0,3.9,1.8,1.0,0.3,1.1,2.1,15.7,.447,.522,.372,.898,.557,.540,F,ATL,griffaj01
863,Bilal Coulibaly,1.7,IND,1,7,2023,,2023-24,2025-26,19-21,178,130,0,4.8,11.2,3.4,6.9,1.3,4.3,2.5,3.5,1.4,4.2,5.6,3.2,1.5,1.0,2.1,2.8,13.4,.426,.497,.313,.734,.528,.487,F,WAS,coulibi01
864,Arnett Moultrie,1.7,MIA,1,27,2012,Mississippi State,2012-13,2013-14,22-23,59,2,0,4.6,8.5,4.6,8.5,0.0,0.0,1.1,1.6,4.3,4.6,8.9,0.6,1.2,0.7,1.3,3.2,10.4,.547,.547,,.667,.563,.547,F,PHI,moultar01
865,Jerome Jordan,1.7,MIL,2,44,2010,Tulsa,2011-12,2014-15,25-28,65,0,0,4.9,9.3,4.9,9.3,0.0,0.0,3.4,4.0,4.8,4.8,9.7,1.2,0.7,1.5,1.8,5.4,13.2,.528,.528,,.852,.597,.528,C,BRKNYK,jordaje01
866,Isaac Bonga,1.7,PHI,2,39,2018,,2018-19,2021-22,19-22,143,57,0,3.0,6.9,2.3,4.4,0.8,2.5,1.7,2.2,2.0,4.2,6.2,2.3,1.4,0.7,1.7,4.6,8.4,.432,.506,.300,.759,.533,.486,G,LALTORWAS,bongais01
867,Jordan McRae,1.7,SAS,2,58,2014,Tennessee,2015-16,2019-20,24-28,123,9,0,6.4,15.4,4.6,10.4,1.8,5.0,3.4,4.4,0.7,4.1,4.8,3.5,1.0,0.6,1.8,3.1,18.0,.417,.447,.355,.772,.519,.474,G,CLEDENDETPHOWAS,mcraejo01
868,Robert Swift,1.7,OKC,1,12,2004,,2004-05,2008-09,19-23,97,34,0,4.1,8.2,4.1,8.2,0.0,0.0,1.7,2.8,2.9,6.1,9.0,0.5,0.6,2.1,1.7,5.4,10.0,.506,.506,,.610,.531,.506,C,OKCSEA,swiftro01
869,Kareem Rush,1.7,TOR,1,20,2002,Missouri,2002-03,2009-10,22-29,346,78,0,5.3,13.2,3.6,8.4,1.7,4.9,1.0,1.5,0.6,2.8,3.5,2.1,0.9,0.4,1.8,2.8,13.4,.400,.425,.358,.703,.482,.466,G,CHAINDLACLALPHI,rushka01
870,Perry Jones,1.7,OKC,1,28,2012,Baylor,2012-13,2014-15,21-23,143,21,0,4.2,10.0,3.4,7.3,0.8,2.6,1.3,2.0,1.0,4.4,5.4,1.2,0.8,0.7,1.3,2.9,10.5,.420,.466,.293,.660,.483,.459,F,OKC,jonespe01
871,Terrence Shannon Jr.,1.6,MIN,1,27,2024,Illinois,2024-25,2025-26,24-25,75,3,0,5.4,11.7,3.7,7.3,1.7,4.4,3.0,3.7,0.8,3.1,3.9,2.9,0.9,0.2,1.6,3.2,15.6,.463,.506,.393,.802,.583,.537,G,MIN,shannte01
872,Tristan Vukcevic,1.6,WAS,2,42,2023,,2023-24,2025-26,20-22,94,17,0,8.1,16.9,5.5,9.3,2.6,7.6,4.2,5.4,1.7,6.7,8.4,2.9,1.1,1.7,3.1,4.5,23.0,.481,.590,.348,.780,.599,.559,F-C,WAS,vukcetr01
873,Dylan Windler,1.6,CLE,1,26,2019,Belmont,2020-21,2023-24,24-27,101,0,0,3.7,8.6,1.7,2.8,2.0,5.8,1.2,1.5,1.5,5.5,7.0,2.6,1.2,0.5,1.7,3.0,10.5,.425,.588,.347,.800,.568,.542,G-F,ATLCLELALNYK,windldy01
874,DeAndre Liggins,1.6,ORL,2,53,2011,Kentucky,2011-12,2017-18,23-29,177,24,0,2.4,6.1,1.6,3.8,0.8,2.3,0.8,1.5,0.9,3.9,4.8,2.3,2.0,0.6,1.6,3.8,6.5,.402,.432,.352,.549,.484,.469,G,CLEDALMIAMILNOPOKCORL,liggide01
875,Acie Law,1.6,ATL,1,11,2007,Texas A&M,2007-08,2010-11,23-26,188,8,0,4.0,9.6,3.6,7.9,0.4,1.7,2.6,3.3,0.5,2.4,2.9,4.7,1.3,0.1,2.2,2.9,10.9,.413,.452,.235,.778,.494,.434,G,ATLCHACHIGSWMEM,lawac01
876,Sidy Cissoko,1.6,SAS,2,44,2023,,2023-24,2025-26,19-21,109,26,0,3.5,8.5,2.1,3.7,1.3,4.8,1.6,2.4,1.7,2.8,4.5,2.9,1.3,0.6,1.8,4.5,9.8,.408,.569,.283,.652,.515,.487,G,PORSAS,cissosi01
877,David Andersen,1.5,ATL,2,37,2002,,2009-10,2010-11,29-30,103,0,0,5.8,13.1,4.8,10.3,1.0,2.9,1.7,2.5,2.1,6.2,8.3,1.6,0.6,0.6,1.7,4.5,14.3,.440,.467,.347,.674,.501,.478,C,HOUNOHTOR,anderda03
878,Donté Greene,1.5,MEM,1,28,2008,Syracuse,2008-09,2011-12,20-23,253,82,0,4.9,12.2,3.6,7.6,1.4,4.6,1.7,2.5,1.2,3.9,5.1,1.5,0.9,1.0,1.9,3.2,13.0,.406,.467,.304,.701,.491,.463,F,SAC,greendo01
879,Zoran Planinić,1.5,NJN,1,22,2003,,2003-04,2005-06,21-23,148,10,0,4.5,11.0,3.6,8.1,0.8,2.9,3.0,4.4,1.1,3.4,4.5,3.7,1.3,0.2,2.7,5.4,12.7,.405,.447,.289,.677,.492,.443,G,NJN,planizo01
880,Alexander Johnson,1.5,IND,2,45,2006,Florida State,2006-07,2007-08,23-24,102,25,0,4.2,8.1,4.2,8.1,0.0,0.0,3.7,5.6,2.3,5.3,7.6,0.8,1.1,1.2,2.5,6.0,12.1,.517,.517,,.672,.574,.517,F,MEMMIA,johnsal01
881,Kyle Weaver,1.5,CHA,2,38,2008,Washington State,2008-09,2010-11,22-24,73,19,0,3.5,7.9,2.4,4.8,1.1,3.1,1.4,1.9,0.9,3.2,4.1,3.1,1.4,0.9,2.1,2.5,9.5,.441,.497,.353,.736,.541,.510,G,OKCUTA,weaveky01
882,Bruno Caboclo,1.5,TOR,1,20,2014,,2014-15,2020-21,19-25,105,20,0,4.5,11.2,2.8,5.6,1.7,5.6,1.6,1.9,2.3,5.2,7.5,2.0,1.0,1.6,1.9,3.8,12.3,.403,.498,.308,.836,.512,.480,F-C,HOUMEMSACTOR,cabocbr01
883,Joan Beringer,1.5,MIN,1,17,2025,,2025-26,2025-26,19,40,3,0,7.5,11.2,7.5,11.2,0.0,0.0,3.0,4.2,5.2,5.4,10.5,1.4,0.8,3.0,1.3,5.4,17.9,.663,.663,,.703,.683,.663,C,MIN,berinjo01
884,Davon Reed,1.5,PHO,2,32,2017,Miami (FL),2017-18,2022-23,22-27,122,7,0,3.8,9.2,1.9,4.4,1.9,4.8,0.9,1.4,0.8,5.1,5.9,2.5,1.4,0.4,1.3,3.4,10.3,.408,.434,.385,.667,.525,.509,G,DENINDLALPHO,reedda01
885,Tidjane Salaün,1.5,CHA,1,6,2024,,2024-25,2025-26,19-20,97,10,0,3.8,10.0,2.0,4.3,1.9,5.7,1.8,2.7,1.9,6.6,8.5,2.0,0.9,0.4,1.7,2.7,11.4,.385,.463,.326,.694,.511,.478,F,CHO,salauti01
886,Kobe Sanders,1.4,NYK,2,50,2025,Nevada,2025-26,2025-26,23,68,16,0,4.8,10.2,2.6,5.0,2.1,5.2,1.5,1.8,0.8,3.3,4.1,2.9,1.3,0.3,2.2,3.9,13.2,.466,.527,.408,.826,.597,.570,G,LAC,sandeko01
887,Jett Howard,1.4,ORL,1,11,2023,Michigan,2023-24,2025-26,20-22,133,0,0,5.2,13.4,2.4,4.6,2.9,8.8,1.4,1.6,1.1,3.0,4.0,2.3,0.6,0.6,1.3,3.4,14.7,.392,.519,.326,.833,.522,.499,G,ORL,howarje01
888,MarJon Beauchamp,1.4,MIL,1,24,2022,,2022-23,2025-26,22-25,149,13,0,5.1,11.9,2.9,5.6,2.2,6.4,1.6,2.3,1.7,4.6,6.3,2.0,1.0,0.4,2.2,3.3,14.1,.431,.521,.352,.712,.546,.525,G,LACMILNYKPHI,beaucma01
